请求时间,IP:端口,是否成功,有效URL,状态码,响应时间(秒),频道数,URL类型,失败原因
2026-04-09T12:53:34.908578,182.207.218.44:999,False,,,,0,,超时: http://182.207.218.44:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.911339,182.207.218.48:999,False,,,,0,,超时: http://182.207.218.48:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.914579,182.207.218.51:999,False,,,,0,,超时: http://182.207.218.51:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.912195,182.207.218.49:999,False,,,,0,,超时: http://182.207.218.49:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.915483,182.207.218.52:999,False,,,,0,,超时: http://182.207.218.52:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.916381,182.207.218.53:999,False,,,,0,,超时: http://182.207.218.53:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.919130,182.207.218.56:999,False,,,,0,,超时: http://182.207.218.56:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.920995,182.207.218.58:999,False,,,,0,,超时: http://182.207.218.58:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.923675,182.207.218.61:999,False,,,,0,,超时: http://182.207.218.61:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.917253,182.207.218.54:999,False,,,,0,,超时: http://182.207.218.54:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.920029,182.207.218.57:999,False,,,,0,,超时: http://182.207.218.57:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.922773,182.207.218.60:999,False,,,,0,,超时: http://182.207.218.60:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.927682,182.207.218.65:999,False,,,,0,,超时: http://182.207.218.65:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.928500,182.207.218.66:999,False,,,,0,,超时: http://182.207.218.66:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.923960,182.207.218.62:999,False,,,,0,,超时: http://182.207.218.62:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.930230,182.207.218.68:999,False,,,,0,,超时: http://182.207.218.68:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.932849,182.207.218.71:999,False,,,,0,,超时: http://182.207.218.71:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.931107,182.207.218.69:999,False,,,,0,,超时: http://182.207.218.69:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.934540,182.207.218.73:999,False,,,,0,,超时: http://182.207.218.73:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.933736,182.207.218.72:999,False,,,,0,,超时: http://182.207.218.72:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.936653,182.207.218.76:999,False,,,,0,,超时: http://182.207.218.76:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.936239,182.207.218.75:999,False,,,,0,,超时: http://182.207.218.75:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.938908,182.207.218.78:999,False,,,,0,,超时: http://182.207.218.78:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.940640,182.207.218.80:999,False,,,,0,,超时: http://182.207.218.80:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.941410,182.207.218.81:999,False,,,,0,,超时: http://182.207.218.81:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.942327,182.207.218.82:999,False,,,,0,,超时: http://182.207.218.82:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.948416,182.207.218.89:999,False,,,,0,,超时: http://182.207.218.89:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.945165,182.207.218.86:999,False,,,,0,,超时: http://182.207.218.86:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.943193,182.207.218.83:999,False,,,,0,,超时: http://182.207.218.83:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.949275,182.207.218.90:999,False,,,,0,,超时: http://182.207.218.90:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.947615,182.207.218.88:999,False,,,,0,,超时: http://182.207.218.88:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.950149,182.207.218.91:999,False,,,,0,,超时: http://182.207.218.91:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.954422,182.207.218.96:999,False,,,,0,,超时: http://182.207.218.96:999/ZHGXTV/Public/json/live_interface.txt
